Provider	Provider Country	SKU	Developer	Title	Version	Product Type Identifier	Units	Developer Proceeds	Begin Date	End Date	Customer Currency	Country Code	Currency of Proceeds	Apple Identifier	Customer Price	Promo Code	Parent Identifier
APPLE	US	MySampleApp	Greg Heartsfield	AppGrapher	1.0	1F	1	0	08/28/2010          	08/28/2010          	USD	US	USD	99999	0	CR-RW	
APPLE	US	MySampleApp	Greg Heartsfield	AppGrapher	1.0	1F	2	2.1	08/28/2010          	08/28/2010          	USD	US	USD	99999	2.99	 	
APPLE	US	MySampleApp	Greg Heartsfield	AppGrapher	1.0	1F	3	0	08/29/2010          	08/29/2010          	USD	US	USD	99999	0	CR-RW	
APPLE	US	MySampleApp	Greg Heartsfield	AppGrapher	1.0	1F	5	2.1	08/29/2010          	08/29/2010          	USD	US	USD	99999	2.99	 	
APPLE	US	MySampleApp	Greg Heartsfield	AppGrapher	1.0	1F	1	1.09	08/29/2010          	08/29/2010          	GBP	GB	GBP	99999	1.79	 	
APPLE	US	MySampleApp	Greg Heartsfield	AppGrapher	1.0	1F	1	1.45	08/29/2010          	08/29/2010          	EUR	FR	EUR	99999	2.39	 	
APPLE	US	MySampleApp	Greg Heartsfield	AppGrapher	1.0	1F	1	2.1	08/29/2010          	08/29/2010          	USD	SG	USD	99999	2.99	 	
APPLE	US	MySampleApp	Greg Heartsfield	AppGrapher	1.0	1F	2	2.54	08/29/2010          	08/29/2010          	AUD	AU	AUD	99999	3.99	 	
APPLE	US	MySampleApp	Greg Heartsfield	AppGrapher	1.0	1F	4	2.1	08/30/2010          	08/30/2010          	USD	US	USD	99999	2.99	 	
APPLE	US	MySampleApp	Greg Heartsfield	AppGrapher	1.0	1F	2	1.09	08/30/2010          	08/30/2010          	GBP	GB	GBP	99999	1.79	 	
APPLE	US	MySampleApp	Greg Heartsfield	AppGrapher	1.0	1F	1	2.54	08/30/2010          	08/30/2010          	AUD	AU	AUD	99999	3.99	 	
APPLE	US	MySampleApp	Greg Heartsfield	AppGrapher	1.0	1F	1	0	08/31/2010          	08/31/2010          	USD	US	USD	99999	0	CR-RW	
APPLE	US	MySampleApp	Greg Heartsfield	AppGrapher	1.0	1F	2	2.1	08/31/2010          	08/31/2010          	USD	US	USD	99999	2.99	 	
APPLE	US	MySampleApp	Greg Heartsfield	AppGrapher	1.0	1F	1	1.09	08/31/2010          	08/31/2010          	GBP	GB	GBP	99999	1.79	 	
APPLE	US	MySampleApp	Greg Heartsfield	AppGrapher	1.0	1F	2	2.54	08/31/2010          	08/31/2010          	AUD	AU	AUD	99999	3.99	 	
